Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min,treat_description
A1,yH298,wt,2mMH2O2,0,90,180,clear
B1,yH299,wt,2mMH2O2,0,90,180,clear
C1,yH887,ScCTA1pr,2mMH2O2,0,90,180,clear
D1,yH888,ScCTA1pr,2mMH2O2,0,90,180,clear
E1,yH889,ScCTA1pr,2mMH2O2,0,90,180,clear
F1,yH890,ScCTT1pr,2mMH2O2,0,90,180,clear
G1,yH891,ScCTT1pr,2mMH2O2,0,90,180,clear
H1,yH892,ScCTT1pr,2mMH2O2,0,90,180,clear
A2,yH298,wt,0.2%_Oleic_Acid,0,90,180,clear
B2,yH299,wt,0.2%_Oleic_Acid,0,90,180,clear
C2,yH887,ScCTA1pr,0.2%_Oleic_Acid,0,90,180,clear
D2,yH888,ScCTA1pr,0.2%_Oleic_Acid,0,90,180,clear
E2,yH889,ScCTA1pr,0.2%_Oleic_Acid,0,90,180,clear
F2,yH890,ScCTT1pr,0.2%_Oleic_Acid,0,90,180,clear
G2,yH891,ScCTT1pr,0.2%_Oleic_Acid,0,90,180,clear
H2,yH892,ScCTT1pr,0.2%_Oleic_Acid,0,90,180,clear
A3,yH298,wt,ctrl,0,90,180,clear
B3,yH299,wt,ctrl,0,90,180,clear
C3,yH887,ScCTA1pr,ctrl,0,90,180,clear
D3,yH888,ScCTA1pr,ctrl,0,90,180,clear
E3,yH889,ScCTA1pr,ctrl,0,90,180,clear
F3,yH890,ScCTT1pr,ctrl,0,90,180,clear
G3,yH891,ScCTT1pr,ctrl,0,90,180,clear
H3,yH892,ScCTT1pr,ctrl,0,90,180,clear
A4,,,,,,,
B4,,,,,,,
C4,,,,,,,
D4,,,,,,,
E4,,,,,,,
F4,,,,,,,
G4,,,,,,,
H4,,,,,,,
A5,yH298,wt,2mMH2O2,30,120,210,clear
B5,yH299,wt,2mMH2O2,30,120,210,clear
C5,yH887,ScCTA1pr,2mMH2O2,30,120,210,clear
D5,yH888,ScCTA1pr,2mMH2O2,30,120,210,clear
E5,yH889,ScCTA1pr,2mMH2O2,30,120,210,clear
F5,yH890,ScCTT1pr,2mMH2O2,30,120,210,clear
G5,yH891,ScCTT1pr,2mMH2O2,30,120,210,clear
H5,yH892,ScCTT1pr,2mMH2O2,30,120,210,clear
A6,yH298,wt,0.2%_Oleic_Acid,30,120,210,clear
B6,yH299,wt,0.2%_Oleic_Acid,30,120,210,clear
C6,yH887,ScCTA1pr,0.2%_Oleic_Acid,30,120,210,clear
D6,yH888,ScCTA1pr,0.2%_Oleic_Acid,30,120,210,clear
E6,yH889,ScCTA1pr,0.2%_Oleic_Acid,30,120,210,clear
F6,yH890,ScCTT1pr,0.2%_Oleic_Acid,30,120,210,clear
G6,yH891,ScCTT1pr,0.2%_Oleic_Acid,30,120,210,clear
H6,yH892,ScCTT1pr,0.2%_Oleic_Acid,30,120,210,clear
A7,yH298,wt,ctrl,30,120,210,clear
B7,yH299,wt,ctrl,30,120,210,clear
C7,yH887,ScCTA1pr,ctrl,30,120,210,clear
D7,yH888,ScCTA1pr,ctrl,30,120,210,clear
E7,yH889,ScCTA1pr,ctrl,30,120,210,clear
F7,yH890,ScCTT1pr,ctrl,30,120,210,clear
G7,yH891,ScCTT1pr,ctrl,30,120,210,clear
H7,yH892,ScCTT1pr,ctrl,30,120,210,clear
A8,,,,,,,
B8,,,,,,,
C8,,,,,,,
D8,,,,,,,
E8,,,,,,,
F8,,,,,,,
G8,,,,,,,
H8,,,,,,,
A9,yH298,wt,2mMH2O2,60,150,240,clear
B9,yH299,wt,2mMH2O2,60,150,240,clear
C9,yH887,ScCTA1pr,2mMH2O2,60,150,240,clear
D9,yH888,ScCTA1pr,2mMH2O2,60,150,240,clear
E9,yH889,ScCTA1pr,2mMH2O2,60,150,240,clear
F9,yH890,ScCTT1pr,2mMH2O2,60,150,240,clear
G9,yH891,ScCTT1pr,2mMH2O2,60,150,240,clear
H9,yH892,ScCTT1pr,2mMH2O2,60,150,240,clear
A10,yH298,wt,0.2%_Oleic_Acid,60,150,240,clear
B10,yH299,wt,0.2%_Oleic_Acid,60,150,240,clear
C10,yH887,ScCTA1pr,0.2%_Oleic_Acid,60,150,240,clear
D10,yH888,ScCTA1pr,0.2%_Oleic_Acid,60,150,240,clear
E10,yH889,ScCTA1pr,0.2%_Oleic_Acid,60,150,240,clear
F10,yH890,ScCTT1pr,0.2%_Oleic_Acid,60,150,240,clear
G10,yH891,ScCTT1pr,0.2%_Oleic_Acid,60,150,240,clear
H10,yH892,ScCTT1pr,0.2%_Oleic_Acid,60,150,240,clear
A11,yH298,wt,ctrl,60,150,240,clear
B11,yH299,wt,ctrl,60,150,240,clear
C11,yH887,ScCTA1pr,ctrl,60,150,240,clear
D11,yH888,ScCTA1pr,ctrl,60,150,240,clear
E11,yH889,ScCTA1pr,ctrl,60,150,240,clear
F11,yH890,ScCTT1pr,ctrl,60,150,240,clear
G11,yH891,ScCTT1pr,ctrl,60,150,240,clear
H11,yH892,ScCTT1pr,ctrl,60,150,240,clear
A12,,,,,,,
B12,,,,,,,
C12,,,,,,,
D12,,,,,,,
E12,,,,,,,
F12,,,,,,,
G12,,,,,,,
H12,,,,,,,
