Sample,HB_strain,group_name,treat,time_1_min,time_2_min,time_3_min
A1,yH298,wt,0Pi,0,90,180
B1,yH299,wt,0Pi,0,90,180
C1,yH871,Swap46_24,0Pi,0,90,180
D1,yH872,Swap46_24,0Pi,0,90,180
E1,yH874,Swap46_68,0Pi,0,90,180
F1,yH875,Swap46_68,0Pi,0,90,180
G1,yH877,Swap46_810,0Pi,0,90,180
H1,yH878,Swap46_810,0Pi,0,90,180
A2,yH298,wt,2mMH2O2,0,90,180
B2,yH299,wt,2mMH2O2,0,90,180
C2,yH871,Swap46_24,2mMH2O2,0,90,180
D2,yH872,Swap46_24,2mMH2O2,0,90,180
E2,yH874,Swap46_68,2mMH2O2,0,90,180
F2,yH875,Swap46_68,2mMH2O2,0,90,180
G2,yH877,Swap46_810,2mMH2O2,0,90,180
H2,yH878,Swap46_810,2mMH2O2,0,90,180
A3,yH298,wt,ctrl,0,90,180
B3,yH299,wt,ctrl,0,90,180
C3,yH871,Swap46_24,ctrl,0,90,180
D3,yH872,Swap46_24,ctrl,0,90,180
E3,yH874,Swap46_68,ctrl,0,90,180
F3,yH875,Swap46_68,ctrl,0,90,180
G3,yH877,Swap46_810,ctrl,0,90,180
H3,yH878,Swap46_810,ctrl,0,90,180
A4,,,,,,
B4,,,,,,
C4,,,,,,
D4,,,,,,
E4,,,,,,
F4,,,,,,
G4,,,,,,
H4,,,,,,
A5,yH298,wt,0Pi,30,120,210
B5,yH299,wt,0Pi,30,120,210
C5,yH871,Swap46_24,0Pi,30,120,210
D5,yH872,Swap46_24,0Pi,30,120,210
E5,yH874,Swap46_68,0Pi,30,120,210
F5,yH875,Swap46_68,0Pi,30,120,210
G5,yH877,Swap46_810,0Pi,30,120,210
H5,yH878,Swap46_810,0Pi,30,120,210
A6,yH298,wt,2mMH2O2,30,120,210
B6,yH299,wt,2mMH2O2,30,120,210
C6,yH871,Swap46_24,2mMH2O2,30,120,210
D6,yH872,Swap46_24,2mMH2O2,30,120,210
E6,yH874,Swap46_68,2mMH2O2,30,120,210
F6,yH875,Swap46_68,2mMH2O2,30,120,210
G6,yH877,Swap46_810,2mMH2O2,30,120,210
H6,yH878,Swap46_810,2mMH2O2,30,120,210
A7,yH298,wt,ctrl,30,120,210
B7,yH299,wt,ctrl,30,120,210
C7,yH871,Swap46_24,ctrl,30,120,210
D7,yH872,Swap46_24,ctrl,30,120,210
E7,yH874,Swap46_68,ctrl,30,120,210
F7,yH875,Swap46_68,ctrl,30,120,210
G7,yH877,Swap46_810,ctrl,30,120,210
H7,yH878,Swap46_810,ctrl,30,120,210
A8,,,,,,
B8,,,,,,
C8,,,,,,
D8,,,,,,
E8,,,,,,
F8,,,,,,
G8,,,,,,
H8,,,,,,
A9,yH298,wt,0Pi,60,150,240
B9,yH299,wt,0Pi,60,150,240
C9,yH871,Swap46_24,0Pi,60,150,240
D9,yH872,Swap46_24,0Pi,60,150,240
E9,yH874,Swap46_68,0Pi,60,150,240
F9,yH875,Swap46_68,0Pi,60,150,240
G9,yH877,Swap46_810,0Pi,60,150,240
H9,yH878,Swap46_810,0Pi,60,150,240
A10,yH298,wt,2mMH2O2,60,150,240
B10,yH299,wt,2mMH2O2,60,150,240
C10,yH871,Swap46_24,2mMH2O2,60,150,240
D10,yH872,Swap46_24,2mMH2O2,60,150,240
E10,yH874,Swap46_68,2mMH2O2,60,150,240
F10,yH875,Swap46_68,2mMH2O2,60,150,240
G10,yH877,Swap46_810,2mMH2O2,60,150,240
H10,yH878,Swap46_810,2mMH2O2,60,150,240
A11,yH298,wt,ctrl,60,150,240
B11,yH299,wt,ctrl,60,150,240
C11,yH871,Swap46_24,ctrl,60,150,240
D11,yH872,Swap46_24,ctrl,60,150,240
E11,yH874,Swap46_68,ctrl,60,150,240
F11,yH875,Swap46_68,ctrl,60,150,240
G11,yH877,Swap46_810,ctrl,60,150,240
H11,yH878,Swap46_810,ctrl,60,150,240
A12,,,,,,
B12,,,,,,
C12,,,,,,
D12,,,,,,
E12,,,,,,
F12,,,,,,
G12,,,,,,
H12,,,,,,
